index,dataset,text_token_count,image_count,image_tokens_total,total_tokens,image_details,text_tokens_list,question
11,MathVista_MINI,87,1,101,188,"[{'original_size': (320, 240), 'target_size': (308, 252), 'patches_h': 9, 'patches_w': 11, 'total_patches': 99, 'image_tokens': 99, 'total_image_tokens': 101, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: Subtract all red things. Subtract all tiny matte balls. How many objects are left?"
12,MathVista_MINI,85,1,393,478,"[{'original_size': (640, 480), 'target_size': (644, 476), 'patches_h': 17, 'patches_w': 23, 'total_patches': 391, 'image_tokens': 391, 'total_image_tokens': 393, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 8713, 1052, 16745]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Are there fewer metallic fighters than rubber objects?
Choices:
(A) Yes
(B) No"
13,MathVista_MINI,90,1,258,348,"[{'original_size': (448, 448), 'target_size': (448, 448), 'patches_h': 16, 'patches_w': 16, 'total_patches': 256, 'image_tokens': 256, 'total_image_tokens': 258, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: How many objects are preferred by more than 90 percent of people in at least one category?"
14,MathVista_MINI,102,1,393,495,"[{'original_size': (640, 480), 'target_size': (644, 476), 'patches_h': 17, 'patches_w': 23, 'total_patches': 391, 'image_tokens': 391, 'total_image_tokens': 393, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 279, 1372]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is the number of tiny objects that are behind the small metal jet less than the number of tiny things left of the tiny sedan?
Choices:
(A) Yes
(B) No"
15,MathVista_MINI,102,1,114,216,"[{'original_size': (400, 232), 'target_size': (392, 224), 'patches_h': 8, 'patches_w': 14, 'total_patches': 112, 'image_tokens': 112, 'total_image_tokens': 114, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 15920, 46020, 448]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Which organism with be most affected if algae was eliminated?
Choices:
(A) Tilapia
(B) Common water flea
(C) Great diving beetle
(D) Tadpole"
16,MathVista_MINI,85,1,258,343,"[{'original_size': (448, 448), 'target_size': (448, 448), 'patches_h': 16, 'patches_w': 16, 'total_patches': 256, 'image_tokens': 256, 'total_image_tokens': 258, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: How many items sold less than 5 units in at least one store?"
17,MathVista_MINI,124,1,26,150,"[{'original_size': (125, 172), 'target_size': (112, 168), 'patches_h': 6, 'patches_w': 4, 'total_patches': 24, 'image_tokens': 24, 'total_image_tokens': 26, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 69372, 28029, 96050]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，在Rt△ABC中，∠ACB＝90°，D是AB的中点，AB＝10，则CD的长为（）
Choices:
(A) 5
(B) 6
(C) 8
(D) 10"
18,MathVista_MINI,272,1,90,362,"[{'original_size': (302, 232), 'target_size': (308, 224), 'patches_h': 8, 'patches_w': 11, 'total_patches': 88, 'image_tokens': 88, 'total_image_tokens': 90, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 576, 21085, 3685]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The passage below describes an experiment. Read the passage and then follow the instructions below.

Linda applied a thin layer of wax to the underside of her snowboard and rode the board straight down a hill. Then, she removed the wax and rode the snowboard straight down the hill again. She repeated the rides four more times, alternating whether she rode with a thin layer of wax on the board or not. Her friend Bob timed each ride. Linda and Bob calculated the average time it took to slide straight down the hill on the snowboard with wax compared to the average time on the snowboard without wax.
Figure: snowboarding down a hill. Identify the question that Linda and Bob's experiment can best answer.
Choices:
(A) Does Linda's snowboard slide down a hill in less time when it has a thin layer of wax or a thick layer of wax?
(B) Does Linda's snowboard slide down a hill in less time when it has a layer of wax or when it does not have a layer of wax?"
19,MathVista_MINI,79,1,890,969,"[{'original_size': (1024, 684), 'target_size': (1036, 672), 'patches_h': 24, 'patches_w': 37, 'total_patches': 888, 'image_tokens': 888, 'total_image_tokens': 890, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: what is the highest amount this class measures?"
20,MathVista_MINI,90,1,632,722,"[{'original_size': (850, 600), 'target_size': (840, 588), 'patches_h': 21, 'patches_w': 30, 'total_patches': 630, 'image_tokens': 630, 'total_image_tokens': 632, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 279, 2629]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is the sum of smallest two bar is greater then the largest bar?
Choices:
(A) Yes
(B) No"
21,MathVista_MINI,100,1,107,207,"[{'original_size': (418, 204), 'target_size': (420, 196), 'patches_h': 7, 'patches_w': 15, 'total_patches': 105, 'image_tokens': 105, 'total_image_tokens': 107, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: Fill in the blank to describe the model. The model has 4 dots divided into 2 equal groups. There are (_) dots in each group."
22,MathVista_MINI,86,1,562,648,"[{'original_size': (555, 785), 'target_size': (560, 784), 'patches_h': 28, 'patches_w': 20, 'total_patches': 560, 'image_tokens': 560, 'total_image_tokens': 562, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: How many people in the image were born after the end of World War II?"
23,MathVista_MINI,101,1,282,383,"[{'original_size': (552, 393), 'target_size': (560, 392), 'patches_h': 14, 'patches_w': 20, 'total_patches': 280, 'image_tokens': 280, 'total_image_tokens': 282, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 576, 31805, 315]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: The derivative of f(x) at x=2 is ____ that at x=5
Choices:
(A) larger than
(B) equal to
(C) smaller than"
24,MathVista_MINI,83,1,352,435,"[{'original_size': (709, 400), 'target_size': (700, 392), 'patches_h': 14, 'patches_w': 25, 'total_patches': 350, 'image_tokens': 350, 'total_image_tokens': 352, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 3616, 37081]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is Periwinkle the maximum?
Choices:
(A) yes
(B) no"
25,MathVista_MINI,85,1,394,479,"[{'original_size': (770, 400), 'target_size': (784, 392), 'patches_h': 14, 'patches_w': 28, 'total_patches': 392, 'image_tokens': 392, 'total_image_tokens': 394, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 24355, 3616]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is Medium Periwinkle the smoothest?
Choices:
(A) yes
(B) no"
26,MathVista_MINI,84,1,380,464,"[{'original_size': (761, 400), 'target_size': (756, 392), 'patches_h': 14, 'patches_w': 27, 'total_patches': 378, 'image_tokens': 378, 'total_image_tokens': 380, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 5235, 7046]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is Black greater than Deep Sky Blue?
Choices:
(A) yes
(B) no"
27,MathVista_MINI,87,1,1249,1336,"[{'original_size': (2628, 1752), 'target_size': (1204, 812), 'patches_h': 29, 'patches_w': 43, 'total_patches': 1247, 'image_tokens': 1247, 'total_image_tokens': 1249, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: What is the age gap between these two people in image? (Unit: years)"
28,MathVista_MINI,126,1,287,413,"[{'original_size': (519, 431), 'target_size': (532, 420), 'patches_h': 15, 'patches_w': 19, 'total_patches': 285, 'image_tokens': 285, 'total_image_tokens': 287, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 57960, 1975, 1056]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: $\overline{AB}$ is a diameter, $AC=8$ inches, and $BC=15$ inches. Find the radius of the circle.
Choices:
(A) 7.5
(B) 8
(C) 8.5
(D) 17"
29,MathVista_MINI,87,1,386,473,"[{'original_size': (670, 440), 'target_size': (672, 448), 'patches_h': 16, 'patches_w': 24, 'total_patches': 384, 'image_tokens': 384, 'total_image_tokens': 386, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 22703, 458, 7546, 4226, 323, 3410, 279, 1590, 897, 11, 384, 1302, 2572, 220, 16, 11, 220, 17, 11, 220, 18, 11, 518, 279, 835, 624, 14582]","Hint: Please answer the question requiring an integer answer and provide the final value, e.g., 1, 2, 3, at the end.
Question: What is the age gap between these two people in image? (Unit: years)"
30,MathVista_MINI,143,1,18,161,"[{'original_size': (117, 113), 'target_size': (112, 112), 'patches_h': 4, 'patches_w': 4, 'total_patches': 16, 'image_tokens': 16, 'total_image_tokens': 18, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 1634, 6839, 304]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the two chords AB and CD in the circle intersect at E, ∠D = 35.0, ∠AEC = 105.0, then ∠C = ()
Choices:
(A) 60°
(B) 70°
(C) 80°
(D) 85°"
31,MathVista_MINI,98,1,393,491,"[{'original_size': (640, 480), 'target_size': (644, 476), 'patches_h': 17, 'patches_w': 23, 'total_patches': 391, 'image_tokens': 391, 'total_image_tokens': 393, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 8713, 1052, 803]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Are there more big red rubber double buss in front of the large red double bus than big green things?
Choices:
(A) Yes
(B) No"
32,MathVista_MINI,124,1,26,150,"[{'original_size': (168, 100), 'target_size': (168, 112), 'patches_h': 4, 'patches_w': 6, 'total_patches': 24, 'image_tokens': 24, 'total_image_tokens': 26, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 69372, 28029, 96050]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，在ABCD中，AB＝AC，∠CAB＝40°，则∠D的度数是（）
Choices:
(A) 40°
(B) 50°
(C) 60°
(D) 70°"
33,MathVista_MINI,147,1,38,185,"[{'original_size': (331, 95), 'target_size': (336, 84), 'patches_h': 3, 'patches_w': 12, 'total_patches': 36, 'image_tokens': 36, 'total_image_tokens': 38, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 5443, 264, 10486]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Use a sector paper sheet with a central angle of 120.0 and a radius of 6.0 to roll into a conical bottomless paper cap (as shown in the picture), then the bottom perimeter of the paper cap is ()
Choices:
(A) 2πcm
(B) 3πcm
(C) 4πcm
(D) 5πcm"
34,MathVista_MINI,84,1,291,375,"[{'original_size': (479, 479), 'target_size': (476, 476), 'patches_h': 17, 'patches_w': 17, 'total_patches': 289, 'image_tokens': 289, 'total_image_tokens': 291, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 2160, 419, 729]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Is this function continuous at each point?
Choices:
(A) Yes
(B) No"
35,MathVista_MINI,153,1,27,180,"[{'original_size': (151, 141), 'target_size': (140, 140), 'patches_h': 5, 'patches_w': 5, 'total_patches': 25, 'image_tokens': 25, 'total_image_tokens': 27, 'patch_size': 28}]","[151644, 8948, 198, 2610, 525, 264, 10950, 17847, 13, 151645, 198, 151644, 872, 198, 151652, 151655, 151653, 26987, 25, 5209, 4226, 279, 3405, 323, 3410, 279, 4396, 2999, 6524, 11, 384, 1302, 2572, 362, 11, 425, 11, 356, 11, 422, 11, 518, 279, 835, 624, 14582, 25, 69372, 28029, 3837]","Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: 如图，AB是⊙O的直径，EF，EB是⊙O的弦，点E是FEB的中点，EF与AB交于点C，连接OF，若∠AOF＝40°，则∠F的度数是（）
Choices:
(A) 20°
(B) 35°
(C) 40°
(D) 55°"
